index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,sr
0,0.11060834590246355,0.02654600301659125,0.02654600301659125,0.026681531029357115,0.11060834590246355,0.026681531029357115,0.004358755765405382,0.003475637746737491,0.003475637746737491,0.01000213623046875
1,0.05724852071005917,0.03757396449704142,0.03757396449704142,0.09230769230769231,0.05724852071005917,0.09230769230769231,0.010059171597633136,0.03062130177514793,0.03062130177514793,0.0899658203125
2,0.06,0.04173913043478261,0.04173913043478261,0.09065217391304348,0.06,0.09065217391304348,0.008043478260869565,0.035652173913043476,0.035652173913043476,0.1099853515625
3,0.06371490280777538,0.043916486681065514,0.043916486681065514,0.09935205183585313,0.06371490280777538,0.09935205183585313,0.010619150467962564,0.03140748740100792,0.03140748740100792,0.1300048828125
4,0.06342132327733974,0.04628042509427494,0.04628042509427494,0.09221803222488859,0.06342132327733974,0.09221803222488859,0.01062735687350017,0.03256770654782311,0.03256770654782311,0.1500244140625
5,0.06329226658750185,0.023363514917619118,0.023363514917619118,0.09205877987234674,0.06329226658750185,0.09205877987234674,0.0078076295086833905,0.03571322547127802,0.03571322547127802,0.1700439453125
6,0.06233222025797158,0.042624238852877624,0.042624238852877624,0.0872782033654161,0.06233222025797158,0.0872782033654161,0.00818437765992274,0.0314934852353827,0.0314934852353827,0.18994140625
7,0.06528024911032028,0.010602016607354686,0.010602016607354686,0.08626186239620404,0.06528024911032028,0.08626186239620404,0.003484578884934757,0.03334445432977461,0.03334445432977461,0.2099609375
8,0.06197976693558714,0.03880138301959278,0.03880138301959278,0.08490203611217825,0.06197976693558714,0.08490203611217825,0.005922653348700218,0.03212639262389551,0.03212639262389551,0.22998046875
9,0.06766138053563203,0.037639007698887936,0.037639007698887936,0.08653023623083503,0.06766138053563203,0.08653023623083503,0.008324011318023294,0.03314798973481608,0.03314798973481608,0.25
10,0.065359275906656,0.01724031771442645,0.01724031771442645,0.08635551998029678,0.065359275906656,0.08635551998029678,0.0055723169755556926,0.03315682531863801,0.03315682531863801,0.27001953125
11,0.06552055470433947,0.032643415482899216,0.032643415482899216,0.08307580439920015,0.06552055470433947,0.08307580439920015,0.006232633027761186,0.03218895265795829,0.03218895265795829,0.2900390625
12,0.07329138006732036,0.025318308210156595,0.025318308210156595,0.09316552026928143,0.07329138006732036,0.09316552026928143,0.00608810185862725,0.035138299429240454,0.035138299429240454,0.31005859375
13,0.06734519389559739,0.03978636933275553,0.03978636933275553,0.08674060973752942,0.06734519389559739,0.08674060973752942,0.007706632623183144,0.03377800681650484,0.03377800681650484,0.330078125
14,0.06839540144113052,0.029918615768486347,0.029918615768486347,0.08468390737588322,0.06839540144113052,0.08468390737588322,0.006517734300305483,0.0328451834060117,0.0328451834060117,0.35009765625
15,0.07109090439409987,0.03412466740719692,0.03412466740719692,0.0852600036165431,0.07109090439409987,0.0852600036165431,0.006264369300715559,0.03272971506806851,0.03272971506806851,0.3701171875
16,0.07232733284349743,0.024843864805290227,0.024843864805290227,0.0891348273328435,0.07232733284349743,0.0891348273328435,0.007783798677443056,0.03470563923585599,0.03470563923585599,0.389892578125
17,0.06853441617195948,0.01633085428022863,0.01633085428022863,0.08071635071613002,0.06853441617195948,0.08071635071613002,0.004689603425065654,0.03205481870544877,0.03205481870544877,0.409912109375
18,0.07219330348009911,0.030254813265746822,0.030254813265746822,0.09068488168572272,0.07219330348009911,0.09068488168572272,0.0072397881481144725,0.03369854295001477,0.03369854295001477,0.429931640625
19,0.06870978733639334,0.01661622336693993,0.01661622336693993,0.07722835782004771,0.06870978733639334,0.07722835782004771,0.0038684331843418652,0.031989737628029105,0.031989737628029105,0.449951171875
20,0.07514423419359434,0.030983641586932262,0.030983641586932262,0.09671407203399891,0.07514423419359434,0.09671407203399891,0.006256083952610461,0.03480614449535839,0.03480614449535839,0.469970703125
21,0.06646216768916155,0.040558963871847306,0.040558963871847306,0.0658145875937287,0.06646216768916155,0.0658145875937287,0.0043967280163599185,0.0292774369461486,0.0292774369461486,0.489990234375
22,0.07344875698728467,0.043411111208613774,0.043411111208613774,0.09006028589731215,0.07344875698728467,0.09006028589731215,0.012136156620479654,0.03374079696727713,0.03374079696727713,0.509765625
23,0.0728632637392575,0.02231468410233549,0.02231468410233549,0.08584094905515516,0.0728632637392575,0.08584094905515516,0.006067810882433068,0.03238229685216831,0.03238229685216831,0.5302734375
24,0.07206819532386631,0.01829880535234934,0.01829880535234934,0.08267248621954468,0.07206819532386631,0.08267248621954468,0.004661789717423823,0.03318579537304563,0.03318579537304563,0.5498046875
25,0.07420337394564198,0.021040299906279286,0.021040299906279286,0.08234536082474227,0.07420337394564198,0.08234536082474227,0.004838331771321462,0.03068181818181818,0.03068181818181818,0.5703125
26,0.07440724879883016,0.02660852308335074,0.02660852308335074,0.08175788594109046,0.07440724879883016,0.08175788594109046,0.005770837685397953,0.03173960726968874,0.03173960726968874,0.58984375
27,0.08050910608363886,0.023458225282422723,0.023458225282422723,0.09103102924081195,0.08050910608363886,0.09103102924081195,0.007243136904229635,0.03514262720200304,0.03514262720200304,0.6103515625
28,0.07392191538566181,0.030227179975513534,0.030227179975513534,0.07696911984763978,0.07392191538566181,0.07696911984763978,0.005169364712284043,0.029302135763841653,0.029302135763841653,0.6298828125
29,0.08041272570937232,0.03649183147033534,0.03649183147033534,0.08249355116079106,0.08041272570937232,0.08249355116079106,0.006620808254514187,0.03102321582115219,0.03102321582115219,0.650390625
30,0.07364518682051069,0.042779189403090764,0.042779189403090764,0.08221213257244415,0.07364518682051069,0.08221213257244415,0.008733563821663126,0.03292095361075242,0.03292095361075242,0.669921875
31,0.0794308800281047,0.028069559107676095,0.028069559107676095,0.08171438608817846,0.0794308800281047,0.08171438608817846,0.0053398910943263656,0.03116107500439136,0.03116107500439136,0.6904296875
32,0.07369255150554675,0.02384069454971405,0.02384069454971405,0.07660373458278784,0.07369255150554675,0.07660373458278784,0.005598428994694412,0.02833666368083787,0.02833666368083787,0.7099609375
33,0.08704219936556762,0.026434682303181776,0.026434682303181776,0.07298375468614823,0.08704219936556762,0.07298375468614823,0.004878400461405364,0.027684321830241276,0.027684321830241276,0.73046875
34,0.08056966217708103,0.04199602561271804,0.04199602561271804,0.07418856259659969,0.08056966217708103,0.07418856259659969,0.009185250607198056,0.02947670567454184,0.02947670567454184,0.75
35,0.0813677291056731,0.032867480528089264,0.032867480528089264,0.07457327514776556,0.0813677291056731,0.07457327514776556,0.007733524830138651,0.0244987018726178,0.0244987018726178,0.76953125
36,0.08319835870856279,0.015657056473383005,0.015657056473383005,0.06878306878306878,0.08319835870856279,0.06878306878306878,0.0048050966418313355,0.02791275240254832,0.02791275240254832,0.7900390625
37,0.084838903944595,0.020927431496537186,0.020927431496537186,0.06605691056910569,0.084838903944595,0.06605691056910569,0.004629629629629629,0.020588678109003312,0.020588678109003312,0.8095703125
38,0.08757165507988779,0.04289140952148636,0.04289140952148636,0.06870756596332886,0.08757165507988779,0.06870756596332886,0.00902549091352604,0.028133512216937023,0.028133512216937023,0.830078125
39,0.08732911650683534,0.03652315853907366,0.03652315853907366,0.05713119771475209,0.08732911650683534,0.05713119771475209,0.00642725974290961,0.016731279330748826,0.016731279330748826,0.849609375
40,0.08527891641418642,0.03707004099091071,0.03707004099091071,0.06843699875245055,0.08527891641418642,0.06843699875245055,0.007841739440384958,0.023525218321154874,0.023525218321154874,0.8701171875
41,0.09298283728003476,0.03237019335216163,0.03237019335216163,0.04703454268955029,0.09298283728003476,0.04703454268955029,0.004019117966543559,0.007820986313273952,0.007820986313273952,0.8896484375
42,0.09167468719923003,0.03577157523259544,0.03577157523259544,0.05068976580044915,0.09167468719923003,0.05068976580044915,0.006897658004491498,0.015399422521655439,0.015399422521655439,0.91015625
43,0.09956355701036552,0.027277686852154936,0.027277686852154936,0.03082378614293508,0.09956355701036552,0.03082378614293508,0.0035460992907801418,0.002182214948172395,0.002182214948172395,0.9296875
44,0.09506398537477148,0.017184643510054845,0.017184643510054845,0.033820840950639856,0.09506398537477148,0.033820840950639856,0.004570383912248629,0.006946983546617916,0.006946983546617916,0.9501953125
45,0.07327586206896551,0.008620689655172414,0.008620689655172414,0.03017241379310345,0.07327586206896551,0.03017241379310345,0.004310344827586207,0.002938871473354232,0.002938871473354232,0.9697265625
46,0.5272206303724928,0.022693409742120346,0.022693409742120346,0.011346704871060173,0.5272206303724928,0.011346704871060173,0.011346704871060173,0.2636103151862464,0.2636103151862464,0.990234375
